ABC de Ventas     Del 01/01/2025 al 30/09/2025	ABC de Ventas     Del 01/01/2025 al 30/09/2025	ABC de Ventas     Del 01/01/2025 al 30/09/2025	ABC de Ventas     Del 01/01/2025 al 30/09/2025	ABC de Ventas     Del 01/01/2025 al 30/09/2025	ABC de Ventas     Del 01/01/2025 al 30/09/2025	ABC de Ventas     Del 01/01/2025 al 30/09/2025	ABC de Ventas     Del 01/01/2025 al 30/09/2025	ABC de Ventas     Del 01/01/2025 al 30/09/2025	ABC de Ventas     Del 01/01/2025 al 30/09/2025
Código	Descripción	Unidades	Importe Total	Importe Total  I.I.	% Venta	% Acumu.	Fecha Ult.Vta.	Beneficio B.I.	% Ben.
000656	BRAVAS	"1.398,00"	"12.090,18"	"13.299,20"	"1,18"	"35,24"	30/09/2025	"12.090,18"	"100,00"
000006	ZUMO NARANJA NAT. (Desay.)	"4.459,00"	"11.724,91"	"12.897,40"	"1,15"	"36,39"	30/09/2025	"11.724,91"	"100,00"
000093	ENSALADA CABRA	"993,00"	"11.644,23"	"12.808,65"	"1,14"	"37,53"	30/09/2025	"11.644,23"	"100,00"
001389	WOK SALMON	"869,00"	"11.414,14"	"12.555,55"	"1,12"	"38,64"	30/09/2025	"11.414,14"	"100,00"
000092	ENSALADA CESAR	"914,00"	"10.784,91"	"11.863,40"	"1,05"	"39,70"	30/09/2025	"10.784,91"	"100,00"
001799	POLLO CAJÚN	"1.163,00"	"10.519,86"	"11.571,85"	"1,03"	"40,73"	30/09/2025	"10.519,86"	"100,00"
001804	LOMO ALTO	"547,00"	"10.417,86"	"11.459,65"	"1,02"	"41,74"	30/09/2025	"10.417,86"	"100,00"
000393	APEROL SPRITZ	"1.726,00"	"10.193,18"	"11.212,50"	"1,00"	"42,74"	30/09/2025	"10.193,18"	"100,00"
001711	CRISPY CHICKEN	"1.117,00"	"10.103,77"	"11.114,15"	"0,99"	"43,73"	30/09/2025	"10.103,77"	"100,00"
001488	MULTICEREAL	"6.795,00"	"9.805,09"	"10.785,60"	"0,96"	"44,69"	30/09/2025	"9.805,09"	"100,00"
001800	BASTONES DE BONIATO	"1.497,00"	"9.435,59"	"10.379,15"	"0,92"	"45,61"	30/09/2025	"9.435,59"	"100,00"
000229	TINTO DE VERANO	"3.513,00"	"8.993,09"	"9.892,40"	"0,88"	"46,49"	30/09/2025	"8.993,09"	"100,00"
001200	TARTAR DE ATUN ROJO	"599,00"	"8.959,14"	"9.855,05"	"0,88"	"47,36"	28/09/2025	"8.959,14"	"100,00"
001768	COSTILLA DE CERDO	"634,00"	"8.896,64"	"9.786,30"	"0,87"	"48,23"	30/09/2025	"8.896,64"	"100,00"
000876	ENSALADILLA RUSA	"778,00"	"8.837,32"	"9.721,05"	"0,86"	"49,10"	30/09/2025	"8.837,32"	"100,00"
000095	ENSALADA TEMPLADA	"698,00"	"8.610,91"	"9.472,00"	"0,84"	"49,94"	30/09/2025	"8.610,91"	"100,00"
000153	CAPPUCCINO ITALIANO	"3.590,00"	"8.424,00"	"9.266,40"	"0,82"	"50,76"	30/09/2025	"8.424,00"	"100,00"
000769	TATAKI DE ATÚN	"499,00"	"8.401,86"	"9.242,05"	"0,82"	"51,58"	30/09/2025	"8.401,86"	"100,00"
000003	COLA ZERO	"4.631,00"	"8.281,82"	"9.110,00"	"0,81"	"52,39"	30/09/2025	"8.281,82"	"100,00"
001386	ENSALADA REFRESCANTE	"686,00"	"8.162,95"	"8.979,25"	"0,80"	"53,19"	30/09/2025	"8.162,95"	"100,00"
001487	RUSTICO	"5.983,00"	"8.108,18"	"8.919,00"	"0,79"	"53,98"	30/09/2025	"8.108,18"	"100,00"
000771	MINI-BURGUER CASERA TERNERA	"1.333,00"	"7.906,68"	"8.697,35"	"0,77"	"54,76"	30/09/2025	"7.906,68"	"100,00"
