ABC de Ventas     Del 01/09/2025 al 30/09/2025	ABC de Ventas     Del 01/09/2025 al 30/09/2025	ABC de Ventas     Del 01/09/2025 al 30/09/2025	ABC de Ventas     Del 01/09/2025 al 30/09/2025	ABC de Ventas     Del 01/09/2025 al 30/09/2025	ABC de Ventas     Del 01/09/2025 al 30/09/2025	ABC de Ventas     Del 01/09/2025 al 30/09/2025	ABC de Ventas     Del 01/09/2025 al 30/09/2025	ABC de Ventas     Del 01/09/2025 al 30/09/2025	ABC de Ventas     Del 01/09/2025 al 30/09/2025
Código	Descripción	Unidades	Importe Total	Importe Total  I.I.	% Venta	% Acumu.	Fecha Ult.Vta.	Beneficio B.I.	% Ben.
000108	MENU INFANTIL	"29,00"	"224,09"	"246,50"	"0,66"	"21,42"	30/09/2025	"224,09"	"100,00"
000109	BURGUER LA CHANCLA	"139,00"	"1.762,77"	"1.939,05"	"5,18"	"26,60"	30/09/2025	"1.762,77"	"100,00"
000111	PETIT FOIE	"41,00"	"333,59"	"366,95"	"0,98"	"27,58"	27/09/2025	"333,59"	"100,00"
000114	SANDWICH VEGANO	"39,00"	"317,32"	"349,05"	"0,93"	"28,51"	30/09/2025	"317,32"	"100,00"
000121	"HUEVOS, PATATAS, SETAS TRUFA"	"35,00"	"443,86"	"488,25"	"1,30"	"29,81"	30/09/2025	"443,86"	"100,00"
000656	BRAVAS	"143,00"	"1.293,50"	"1.422,85"	"3,80"	"33,61"	30/09/2025	"1.293,50"	"100,00"
000727	WOK  POLLO	"151,00"	"1.914,95"	"2.106,45"	"5,62"	"39,24"	30/09/2025	"1.914,95"	"100,00"
000769	TATAKI DE ATÚN	"57,00"	"981,95"	"1.080,15"	"2,88"	"42,12"	30/09/2025	"981,95"	"100,00"
000771	MINI-BURGUER CASERA TERNERA	"157,00"	"991,95"	"1.091,15"	"2,91"	"45,03"	30/09/2025	"991,95"	"100,00"
000772	CROQUETAS	"121,00"	"1.424,50"	"1.566,95"	"4,18"	"49,22"	30/09/2025	"1.424,50"	"100,00"
000876	ENSALADILLA RUSA	"85,00"	"1.000,68"	"1.100,75"	"2,94"	"52,16"	30/09/2025	"1.000,68"	"100,00"
001200	TARTAR DE ATUN ROJO	"51,00"	"785,86"	"864,45"	"2,31"	"54,46"	28/09/2025	"785,86"	"100,00"
001214	PAN	"72,00"	"45,82"	"50,40"	"0,13"	"54,60"	30/09/2025	"45,82"	"100,00"
001242	PIMIENTOS DEL PADRON	"88,00"	"556,00"	"611,60"	"1,63"	"56,23"	30/09/2025	"556,00"	"100,00"
001243	SOPA FRIA	"16,00"	"115,64"	"127,20"	"0,34"	"56,57"	30/09/2025	"115,64"	"100,00"
001257	salsa casera	"125,00"	"56,82"	"62,50"	"0,17"	"56,74"	30/09/2025	"56,82"	"100,00"
001259	arroz extra	"7,00"	"19,09"	"21,00"	"0,06"	"56,79"	27/09/2025	"19,09"	"100,00"
001264	ensalada extra	"19,00"	"34,55"	"38,00"	"0,10"	"56,89"	30/09/2025	"34,55"	"100,00"
001343	patatas extra	"55,00"	"150,00"	"165,00"	"0,44"	"57,34"	30/09/2025	"150,00"	"100,00"
001386	ENSALADA REFRESCANTE	"74,00"	"938,45"	"1.032,30"	"2,76"	"60,09"	30/09/2025	"938,45"	"100,00"
001389	WOK SALMON	"79,00"	"1.073,68"	"1.181,05"	"3,15"	"63,24"	30/09/2025	"1.073,68"	"100,00"
001506	MAYONESA	"93,00"	"16,91"	"18,60"	"0,05"	"63,29"	30/09/2025	"16,91"	"100,00"
001511	KETCHUP	"7,00"	"2,55"	"2,80"	"0,01"	"63,30"	30/09/2025	"2,55"	"100,00"
001601	nachos	"46,00"	"0,00"	"0,00"	"0,00"	"63,30"	30/09/2025	"0,00"	"0,00"
001613	patatas baston	"338,00"	"0,00"	"0,00"	"0,00"	"63,30"	30/09/2025	"0,00"	"0,00"
001617	WOK VEGANO	"34,00"	"324,55"	"357,00"	"0,95"	"64,26"	29/09/2025	"324,55"	"100,00"
001649	NUTELLA	"37,00"	"32,73"	"36,00"	"0,10"	"64,35"	30/09/2025	"32,73"	"100,00"
001660	NACHOS GOURMET	"153,00"	"1.738,64"	"1.912,50"	"5,11"	"69,46"	30/09/2025	"1.738,64"	"100,00"
001711	CRISPY CHICKEN	"102,00"	"922,64"	"1.014,90"	"2,71"	"72,17"	30/09/2025	"922,64"	"100,00"
001768	COSTILLA DE CERDO	"71,00"	"1.029,50"	"1.132,45"	"3,02"	"75,19"	30/09/2025	"1.029,50"	"100,00"
001798	REBANÁ	"32,00"	"289,45"	"318,40"	"0,85"	"76,04"	30/09/2025	"289,45"	"100,00"
001799	POLLO CAJÚN	"127,00"	"1.148,77"	"1.263,65"	"3,37"	"79,42"	30/09/2025	"1.148,77"	"100,00"
001800	BASTONES DE BONIATO	"117,00"	"845,59"	"930,15"	"2,48"	"81,90"	30/09/2025	"845,59"	"100,00"
001802	CUBIERTA DE CHEDAR	"10,00"	"13,64"	"15,00"	"0,04"	"81,94"	28/09/2025	"13,64"	"100,00"
001803	HUEVO FRITO BURGUER	"24,00"	"32,73"	"36,00"	"0,10"	"82,03"	30/09/2025	"32,73"	"100,00"
001804	LOMO ALTO	"77,00"	"1.466,50"	"1.613,15"	"4,31"	"86,34"	30/09/2025	"1.466,50"	"100,00"
001805	PESCADO PLANCHA	"143,00"	"2.073,50"	"2.280,85"	"6,09"	"92,43"	30/09/2025	"2.073,50"	"100,00"
001813	SUG_2 10.95	"27,00"	"268,77"	"295,65"	"0,79"	"93,22"	30/09/2025	"268,77"	"100,00"
001815	SUG_4 12.95	"13,00"	"153,05"	"168,35"	"0,45"	"93,67"	29/09/2025	"153,05"	"100,00"
001816	SUG_5 13.95	"74,00"	"938,45"	"1.032,30"	"2,76"	"96,43"	30/09/2025	"938,45"	"100,00"
001817	SUG_6 14.95	"13,00"	"176,68"	"194,35"	"0,52"	"96,95"	30/09/2025	"176,68"	"100,00"
001822	Mayonesa Acomp.	"195,00"	"0,00"	"0,00"	"0,00"	"96,95"	30/09/2025	"0,00"	"0,00"
001823	Ketchup Acomp.	"153,00"	"0,00"	"0,00"	"0,00"	"96,95"	30/09/2025	"0,00"	"0,00"
001824	Guacamole Acomp	"140,00"	"0,00"	"0,00"	"0,00"	"96,95"	30/09/2025	"0,00"	"0,00"
001825	S Brava Acomp	"10,00"	"0,00"	"0,00"	"0,00"	"96,95"	24/09/2025	"0,00"	"0,00"
001826	S. Mayo-Miel Acomp.	"3,00"	"0,00"	"0,00"	"0,00"	"96,95"	22/09/2025	"0,00"	"0,00"
001832	SUG_9 17.95	"43,00"	"701,68"	"771,85"	"2,06"	"99,01"	29/09/2025	"701,68"	"100,00"
001834	SUG_10 18.95	"19,00"	"327,32"	"360,05"	"0,96"	"99,97"	24/09/2025	"327,32"	"100,00"
001897	barbacoa acomp	"51,00"	"0,00"	"0,00"	"0,00"	"99,97"	30/09/2025	"0,00"	"0,00"
001898	Teriyaki acomp	"21,00"	"0,00"	"0,00"	"0,00"	"99,97"	28/09/2025	"0,00"	"0,00"
001901	Arroz acomp	"91,00"	"0,00"	"0,00"	"0,00"	"99,97"	30/09/2025	"0,00"	"0,00"
001902	Noodles acomp	"171,00"	"0,00"	"0,00"	"0,00"	"99,97"	30/09/2025	"0,00"	"0,00"
001903	Bolsa	"8,00"	"0,73"	"0,80"	"0,00"	"99,97"	22/09/2025	"0,73"	"100,00"
001904	Take Grande	"12,00"	"4,36"	"4,80"	"0,01"	"99,98"	21/09/2025	"4,36"	"100,00"
001905	Take pequeño	"32,00"	"5,82"	"6,40"	"0,02"	"100,00"	29/09/2025	"5,82"	"100,00"
001906	Poco hecho	"5,00"	"0,00"	"0,00"	"0,00"	"100,00"	28/09/2025	"0,00"	"0,00"
001907	Punto menos	"14,00"	"0,00"	"0,00"	"0,00"	"100,00"	27/09/2025	"0,00"	"0,00"
001908	Al Punto	"48,00"	"0,00"	"0,00"	"0,00"	"100,00"	30/09/2025	"0,00"	"0,00"
001909	Punto Más	"4,00"	"0,00"	"0,00"	"0,00"	"100,00"	23/09/2025	"0,00"	"0,00"
001910	Muy Hecho	"3,00"	"0,00"	"0,00"	"0,00"	"100,00"	15/09/2025	"0,00"	"0,00"
001911	Pollo empanado	"16,00"	"0,00"	"0,00"	"0,00"	"100,00"	29/09/2025	"0,00"	"0,00"
001912	Pollo plancha	"8,00"	"0,00"	"0,00"	"0,00"	"100,00"	30/09/2025	"0,00"	"0,00"
001913	Patatas fritas	"19,00"	"0,00"	"0,00"	"0,00"	"100,00"	29/09/2025	"0,00"	"0,00"
001914	Arroz	"6,00"	"0,00"	"0,00"	"0,00"	"100,00"	30/09/2025	"0,00"	"0,00"
001943	CUBIERTOS_PLAYA	"31,00"	"0,00"	"0,00"	"0,00"	"100,00"	28/09/2025	"0,00"	"0,00"
001962	Huevo frito infantil	"2,00"	"0,00"	"0,00"	"0,00"	"100,00"	08/09/2025	"0,00"	"0,00"
	CERVEZAS								
000129	MAHOU 33CL	"693,00"	"2.079,00"	"2.286,90"	"15,97"	"15,97"	30/09/2025	"2.079,00"	"100,00"
000131	CORONITAS	"155,00"	"521,36"	"573,50"	"4,00"	"19,97"	29/09/2025	"521,36"	"100,00"
000578	SAN MIGUEL ESPECIAL	"82,00"	"238,55"	"262,40"	"1,83"	"21,80"	28/09/2025	"238,55"	"100,00"
000630	PACK ALHAMBRA	"39,00"	"301,36"	"331,50"	"2,31"	"24,12"	27/09/2025	"301,36"	"100,00"
000631	PACK MAHOU	"40,00"	"309,09"	"340,00"	"2,37"	"26,49"	27/09/2025	"309,09"	"100,00"
000754	CAÑITA 5 ESTRELLAS	"1.329,00"	"3.201,68"	"3.521,85"	"24,59"	"51,08"	30/09/2025	"3.201,68"	"100,00"
000755	JARRA 5 ESTRELLAS	"669,00"	"2.736,82"	"3.010,50"	"21,02"	"72,10"	30/09/2025	"2.736,82"	"100,00"
000825	CLARA LIMON	"47,00"	"102,93"	"124,55"	"0,79"	"72,89"	28/09/2025	"102,93"	"100,00"
000826	CLARA CASERA	"14,00"	"25,45"	"30,80"	"0,20"	"73,08"	28/09/2025	"25,45"	"100,00"
001218	MAESTRA 33CL	"27,00"	"98,18"	"108,00"	"0,75"	"73,84"	28/09/2025	"98,18"	"100,00"
001313	MAHOU SIN GLUTEN	"53,00"	"168,64"	"185,50"	"1,30"	"75,13"	30/09/2025	"168,64"	"100,00"
001319	CAÑA MAESTRA	"132,00"	"384,00"	"422,40"	"2,95"	"78,08"	30/09/2025	"384,00"	"100,00"
001320	JARRA MAESTRA	"17,00"	"85,00"	"93,50"	"0,65"	"78,73"	30/09/2025	"85,00"	"100,00"
001444	RADLER MAHOU	"44,00"	"118,00"	"129,80"	"0,91"	"79,64"	27/09/2025	"118,00"	"100,00"
001459	CAÑA SIN	"1,00"	"1,68"	"1,85"	"0,01"	"79,65"	03/09/2025	"1,68"	"100,00"
001597	San Miguel 0.0	"136,00"	"395,64"	"435,20"	"3,04"	"82,69"	30/09/2025	"395,64"	"100,00"
001643	JARRA CLARA	"3,00"	"12,27"	"13,50"	"0,09"	"82,79"	25/09/2025	"12,27"	"100,00"
001662	STELLA ARTOIS	"7,00"	"18,77"	"20,65"	"0,14"	"82,93"	22/09/2025	"18,77"	"100,00"
001663	ALHAMBRA 1925	"430,00"	"1.446,36"	"1.591,00"	"11,11"	"94,04"	30/09/2025	"1.446,36"	"100,00"
001664	BUDWAISER	"23,00"	"73,18"	"80,50"	"0,56"	"94,60"	28/09/2025	"73,18"	"100,00"
001665	MAHOU IPA	"13,00"	"53,18"	"58,50"	"0,41"	"95,01"	30/09/2025	"53,18"	"100,00"
001666	FRANZISKANER 	"31,00"	"126,82"	"139,50"	"0,97"	"95,98"	28/09/2025	"126,82"	"100,00"
001667	LEFFE BLONDE	"2,00"	"8,18"	"9,00"	"0,06"	"96,05"	22/09/2025	"8,18"	"100,00"
001697	Caña Llevar	"3,00"	"8,45"	"9,30"	"0,06"	"96,11"	25/09/2025	"8,45"	"100,00"
001808	"MAHOU 0,0 TOSTADA"	"173,00"	"503,27"	"553,60"	"3,87"	"99,98"	30/09/2025	"503,27"	"100,00"
001820	MAHOU SIN FILTRAR	"1,00"	"3,18"	"3,50"	"0,02"	"100,00"	16/09/2025	"3,18"	"100,00"
	CAFES E INFUSIONES								
000148	ESPRESSO	"293,00"	"532,73"	"586,00"	"5,10"	"5,10"	30/09/2025	"532,73"	"100,00"
000149	CAFÉ CON LECHE	"1.788,00"	"3.888,00"	"4.276,80"	"37,25"	"42,35"	30/09/2025	"3.888,00"	"100,00"
000150	ESPRESSO MACCHIATO	"6,00"	"12,00"	"13,20"	"0,11"	"42,46"	30/09/2025	"12,00"	"100,00"
000151	CAFÉ HIELO BAYLEIS	"60,00"	"150,00"	"165,00"	"1,44"	"43,90"	30/09/2025	"150,00"	"100,00"
000153	CAPPUCCINO ITALIANO	"332,00"	"782,36"	"860,60"	"7,49"	"51,40"	30/09/2025	"782,36"	"100,00"
000155	COLA CAO	"75,00"	"134,55"	"148,00"	"1,29"	"52,68"	30/09/2025	"134,55"	"100,00"
000156	TÉ	"202,00"	"452,27"	"497,50"	"4,33"	"57,02"	30/09/2025	"452,27"	"100,00"
000157	MENTA POLEO	"21,00"	"47,73"	"52,50"	"0,46"	"57,47"	28/09/2025	"47,73"	"100,00"
000159	MANZANILLA	"25,00"	"54,55"	"60,00"	"0,52"	"58,00"	28/09/2025	"54,55"	"100,00"
000160	leche soja	"47,00"	"4,27"	"4,70"	"0,04"	"58,04"	30/09/2025	"4,27"	"100,00"
000164	TÉ EN LECHE	"17,00"	"45,18"	"49,70"	"0,43"	"58,47"	28/09/2025	"45,18"	"100,00"
000165	TÉ CON CANELA	"3,00"	"8,05"	"8,85"	"0,08"	"58,55"	23/09/2025	"8,05"	"100,00"
