fecha,tmed,tmax,tmin,prec,velmedia,racha,sol,hrMedia,temp_categoria,humedad_categoria,lluvia_categoria,cielo_categoria,viento_categoria,descripcion_dia,día,desayunos,almuerzos,cenas,mes,nº se,año
2025-01-22,15.2,20.2,10.1,0.0,5.0,16.1,8.2,63.0,Agradable,Húmedo,Sin lluvia,Soleado,Brisa,"Agradable, Húmedo, Brisa, Soleado.",Jueves,82.0,47.0,45,1,3,2025
2025-01-23,15.6,19.4,11.8,0.0,3.1,8.9,4.4,64.0,Agradable,Húmedo,Sin lluvia,Parcialmente soleado,Brisa,"Agradable, Húmedo, Brisa, Parcialmente soleado.",Viernes,124.0,36.0,55,1,3,2025
2025-01-24,16.4,20.4,12.4,0.0,3.6,13.3,2.4,67.0,Agradable,Húmedo,Sin lluvia,Nublado,Brisa,"Agradable, Húmedo, Brisa, Nublado.",Sábado,142.0,102.0,40,1,3,2025
2025-01-25,16.0,20.7,11.2,0.0,1.1,9.2,2.3,72.0,Agradable,Húmedo,Sin lluvia,Nublado,Brisa,"Agradable, Húmedo, Brisa, Nublado.",Domingo,191.0,59.0,27,1,4,2025
2025-01-26,18.3,21.6,15.0,0.0,5.0,11.4,7.7,71.0,Agradable,Húmedo,Sin lluvia,Soleado,Brisa,"Agradable, Húmedo, Brisa, Soleado.",Lunes,80.0,11.0,50,1,4,2025
2025-01-27,19.9,23.9,15.9,0.0,8.3,14.4,8.6,70.0,Agradable,Húmedo,Sin lluvia,Soleado,Brisa,"Agradable, Húmedo, Brisa, Soleado.",Martes,86.0,34.0,83,1,4,2025
2025-01-28,16.4,21.4,11.4,0.0,3.1,6.7,8.6,84.0,Agradable,Húmedo,Sin lluvia,Soleado,Brisa,"Agradable, Húmedo, Brisa, Soleado.",Miércoles,70.0,13.0,20,1,4,2025
2025-01-29,18.6,26.0,11.2,0.0,3.3,13.9,8.8,68.0,Agradable,Húmedo,Sin lluvia,Soleado,Brisa,"Agradable, Húmedo, Brisa, Soleado.",Jueves,68.0,33.0,45,1,4,2025
2025-01-30,17.2,21.5,13.0,0.0,7.2,16.4,7.5,61.0,Agradable,Húmedo,Sin lluvia,Soleado,Brisa,"Agradable, Húmedo, Brisa, Soleado.",Viernes,119.0,40.0,66,1,4,2025
2025-01-31,16.6,20.2,12.9,0.0,6.1,20.0,4.4,61.0,Agradable,Húmedo,Sin lluvia,Parcialmente soleado,Brisa,"Agradable, Húmedo, Brisa, Parcialmente soleado.",Sábado,172.0,120.0,56,1,4,2025
2025-02-01,17.6,21.4,13.8,0.0,4.4,15.0,8.5,64.0,Agradable,Húmedo,Sin lluvia,Soleado,Brisa,"Agradable, Húmedo, Brisa, Soleado.",Domingo,177.0,70.0,50,2,5,2025
2025-02-02,18.4,22.6,14.1,0.0,7.8,16.1,9.1,61.0,Agradable,Húmedo,Sin lluvia,Soleado,Brisa,"Agradable, Húmedo, Brisa, Soleado.",Lunes,70.0,31.0,52,2,5,2025
2025-02-03,17.7,21.3,14.1,0.0,5.6,13.3,2.5,60.0,Agradable,Húmedo,Sin lluvia,Nublado,Brisa,"Agradable, Húmedo, Brisa, Nublado.",Martes,94.0,33.0,95,2,5,2025
2025-02-04,14.1,17.4,10.8,0.0,1.4,6.1,1.7,82.0,Frío,Húmedo,Sin lluvia,Nublado,Brisa,"Frío, Húmedo, Brisa, Nublado.",Miércoles,73.0,37.0,27,2,5,2025
2025-02-05,14.4,19.5,9.3,0.2,1.9,9.2,4.7,78.0,Frío,Húmedo,Llovizna / Chubascos,Con chubascos,Brisa,"Frío, Húmedo, Brisa, Con chubascos.",Jueves,86.0,28.0,31,2,5,2025
2025-02-06,14.6,19.1,10.0,0.0,2.2,9.7,7.0,71.0,Frío,Húmedo,Sin lluvia,Soleado,Brisa,"Frío, Húmedo, Brisa, Soleado.",Viernes,94.0,36.0,43,2,5,2025
2025-02-07,12.8,17.5,8.2,0.3,3.3,12.8,2.7,66.0,Frío,Húmedo,Llovizna / Chubascos,Con chubascos,Brisa,"Frío, Húmedo, Brisa, Con chubascos.",Sábado,153.0,81.0,50,2,5,2025
2025-02-08,13.9,19.5,8.3,2.2,4.2,12.5,5.4,61.0,Frío,Húmedo,Lluvia notable,Lluvioso,Brisa,"Frío, Húmedo, Brisa, Lluvioso.",Domingo,200.0,100.0,16,2,6,2025
2025-02-09,14.4,19.7,9.1,0.0,1.9,12.5,0.9,69.0,Frío,Húmedo,Sin lluvia,Nublado,Brisa,"Frío, Húmedo, Brisa, Nublado.",Lunes,62.0,52.0,55,2,6,2025
2025-02-10,16.1,20.7,11.5,0.0,1.7,6.1,0.3,78.0,Agradable,Húmedo,Sin lluvia,Nublado,Brisa,"Agradable, Húmedo, Brisa, Nublado.",Martes,100.0,27.0,68,2,6,2025
2025-02-11,17.3,22.1,12.5,0.0,3.3,11.4,9.4,73.0,Agradable,Húmedo,Sin lluvia,Soleado,Brisa,"Agradable, Húmedo, Brisa, Soleado.",Miércoles,111.0,35.0,52,2,6,2025
2025-02-12,18.0,22.1,13.8,0.0,6.9,15.3,9.3,57.0,Agradable,Húmedo,Sin lluvia,Soleado,Brisa,"Agradable, Húmedo, Brisa, Soleado.",Jueves,134.0,59.0,66,2,6,2025
