ABC de Ventas     Del 01/05/2025 al 31/05/2025	ABC de Ventas     Del 01/05/2025 al 31/05/2025	ABC de Ventas     Del 01/05/2025 al 31/05/2025	ABC de Ventas     Del 01/05/2025 al 31/05/2025	ABC de Ventas     Del 01/05/2025 al 31/05/2025	ABC de Ventas     Del 01/05/2025 al 31/05/2025	ABC de Ventas     Del 01/05/2025 al 31/05/2025	ABC de Ventas     Del 01/05/2025 al 31/05/2025	ABC de Ventas     Del 01/05/2025 al 31/05/2025	ABC de Ventas     Del 01/05/2025 al 31/05/2025
Código	Descripción	Unidades	Importe Total	Importe Total  I.I.	% Venta	% Acumu.	Fecha Ult.Vta.	Beneficio B.I.	% Ben.
000121	"HUEVOS, PATATAS, SETAS TRUFA"	"49,00"	"597,77"	"657,55"	"1,61"	"30,43"	31/05/2025	"597,77"	"100,00"
000656	BRAVAS	"134,00"	"1.171,18"	"1.288,30"	"3,16"	"33,59"	31/05/2025	"1.171,18"	"100,00"
000727	WOK  POLLO	"150,00"	"1.823,18"	"2.005,50"	"4,92"	"38,52"	31/05/2025	"1.823,18"	"100,00"
000769	TATAKI DE ATÚN	"53,00"	"893,95"	"983,35"	"2,41"	"40,93"	31/05/2025	"893,95"	"100,00"
000771	MINI-BURGUER CASERA TERNERA	"158,00"	"937,36"	"1.031,10"	"2,53"	"43,47"	31/05/2025	"937,36"	"100,00"
000772	CROQUETAS	"139,00"	"1.540,05"	"1.694,05"	"4,16"	"47,63"	31/05/2025	"1.540,05"	"100,00"
000876	ENSALADILLA RUSA	"84,00"	"960,73"	"1.056,80"	"2,60"	"50,22"	31/05/2025	"960,73"	"100,00"
001200	TARTAR DE ATUN ROJO	"88,00"	"1.315,09"	"1.446,60"	"3,55"	"53,77"	31/05/2025	"1.315,09"	"100,00"
001214	PAN	"87,00"	"55,36"	"60,90"	"0,15"	"53,92"	31/05/2025	"55,36"	"100,00"
001242	PIMIENTOS DEL PADRON	"65,00"	"410,68"	"451,75"	"1,11"	"55,03"	31/05/2025	"410,68"	"100,00"
001243	SOPA FRIA	"5,00"	"36,23"	"39,85"	"0,10"	"55,13"	31/05/2025	"36,23"	"100,00"
001257	salsa casera	"78,00"	"35,45"	"39,00"	"0,10"	"55,23"	31/05/2025	"35,45"	"100,00"
001259	arroz extra	"12,00"	"32,73"	"36,00"	"0,09"	"55,31"	30/05/2025	"32,73"	"100,00"
001264	ensalada extra	"28,00"	"50,91"	"56,00"	"0,14"	"55,45"	30/05/2025	"50,91"	"100,00"
001343	patatas extra	"56,00"	"152,73"	"168,00"	"0,41"	"55,86"	31/05/2025	"152,73"	"100,00"
001386	ENSALADA REFRESCANTE	"101,00"	"1.196,23"	"1.315,85"	"3,23"	"59,10"	31/05/2025	"1.196,23"	"100,00"
001389	WOK SALMON	"112,00"	"1.475,82"	"1.623,40"	"3,99"	"63,08"	31/05/2025	"1.475,82"	"100,00"
001506	MAYONESA	"113,00"	"20,55"	"22,60"	"0,06"	"63,14"	31/05/2025	"20,55"	"100,00"
001511	KETCHUP	"14,00"	"5,09"	"5,60"	"0,01"	"63,15"	29/05/2025	"5,09"	"100,00"
001601	nachos	"53,00"	"0,00"	"0,00"	"0,00"	"63,15"	30/05/2025	"0,00"	"0,00"
001613	patatas baston	"450,00"	"0,00"	"0,00"	"0,00"	"63,15"	31/05/2025	"0,00"	"0,00"
001617	WOK VEGANO	"58,00"	"529,09"	"582,00"	"1,43"	"64,58"	31/05/2025	"529,09"	"100,00"
001649	NUTELLA	"61,00"	"54,55"	"60,00"	"0,15"	"64,73"	31/05/2025	"54,55"	"100,00"
001660	NACHOS GOURMET	"107,00"	"1.201,91"	"1.322,10"	"3,25"	"67,97"	31/05/2025	"1.201,91"	"100,00"
001673	ALBONDIGAS VEGANAS	"6,00"	"57,27"	"63,00"	"0,15"	"68,13"	04/05/2025	"57,27"	"100,00"
001711	CRISPY CHICKEN	"137,00"	"1.239,23"	"1.363,15"	"3,35"	"71,48"	31/05/2025	"1.239,23"	"100,00"
