ABC de Ventas     Del 01/06/2025 al 30/06/2025	ABC de Ventas     Del 01/06/2025 al 30/06/2025	ABC de Ventas     Del 01/06/2025 al 30/06/2025	ABC de Ventas     Del 01/06/2025 al 30/06/2025	ABC de Ventas     Del 01/06/2025 al 30/06/2025	ABC de Ventas     Del 01/06/2025 al 30/06/2025	ABC de Ventas     Del 01/06/2025 al 30/06/2025	ABC de Ventas     Del 01/06/2025 al 30/06/2025	ABC de Ventas     Del 01/06/2025 al 30/06/2025	ABC de Ventas     Del 01/06/2025 al 30/06/2025
Código	Descripción	Unidades	Importe Total	Importe Total  I.I.	% Venta	% Acumu.	Fecha Ult.Vta.	Beneficio B.I.	% Ben.
001506	MAYONESA	"104,00"	"18,91"	"20,80"	"0,05"	"64,23"	30/06/2025	"18,91"	"100,00"
001511	KETCHUP	"11,00"	"4,00"	"4,40"	"0,01"	"64,24"	26/06/2025	"4,00"	"100,00"
001601	nachos	"62,00"	"0,00"	"0,00"	"0,00"	"64,24"	30/06/2025	"0,00"	"0,00"
001613	patatas baston	"457,00"	"0,00"	"0,00"	"0,00"	"64,24"	30/06/2025	"0,00"	"0,00"
001617	WOK VEGANO	"40,00"	"381,82"	"420,00"	"0,96"	"65,20"	29/06/2025	"381,82"	"100,00"
001649	NUTELLA	"42,00"	"37,27"	"41,00"	"0,09"	"65,29"	30/06/2025	"37,27"	"100,00"
001660	NACHOS GOURMET	"173,00"	"1.965,91"	"2.162,50"	"4,94"	"70,24"	30/06/2025	"1.965,91"	"100,00"
001711	CRISPY CHICKEN	"161,00"	"1.456,32"	"1.601,95"	"3,66"	"73,90"	30/06/2025	"1.456,32"	"100,00"
001768	COSTILLA DE CERDO	"72,00"	"1.044,00"	"1.148,40"	"2,63"	"76,52"	30/06/2025	"1.044,00"	"100,00"
001798	REBANÁ	"37,00"	"334,68"	"368,15"	"0,84"	"77,37"	29/06/2025	"334,68"	"100,00"
001799	POLLO CAJÚN	"169,00"	"1.528,68"	"1.681,55"	"3,84"	"81,21"	30/06/2025	"1.528,68"	"100,00"
001800	BASTONES DE BONIATO	"173,00"	"1.250,32"	"1.375,35"	"3,14"	"84,35"	30/06/2025	"1.250,32"	"100,00"
001802	CUBIERTA DE CHEDAR	"25,00"	"34,09"	"37,50"	"0,09"	"84,44"	29/06/2025	"34,09"	"100,00"
001803	HUEVO FRITO BURGUER	"31,00"	"42,27"	"46,50"	"0,11"	"84,55"	30/06/2025	"42,27"	"100,00"
001804	LOMO ALTO	"52,00"	"990,36"	"1.089,40"	"2,49"	"87,04"	30/06/2025	"990,36"	"100,00"
