ABC de Ventas     Del 01/08/2025 al 31/08/2025	ABC de Ventas     Del 01/08/2025 al 31/08/2025	ABC de Ventas     Del 01/08/2025 al 31/08/2025	ABC de Ventas     Del 01/08/2025 al 31/08/2025	ABC de Ventas     Del 01/08/2025 al 31/08/2025	ABC de Ventas     Del 01/08/2025 al 31/08/2025	ABC de Ventas     Del 01/08/2025 al 31/08/2025	ABC de Ventas     Del 01/08/2025 al 31/08/2025	ABC de Ventas     Del 01/08/2025 al 31/08/2025	ABC de Ventas     Del 01/08/2025 al 31/08/2025
Código	Descripción	Unidades	Importe Total	Importe Total  I.I.	% Venta	% Acumu.	Fecha Ult.Vta.	Beneficio B.I.	% Ben.
001200	TARTAR DE ATUN ROJO	"68,00"	"1.047,82"	"1.152,60"	"2,44"	"57,08"	31/08/2025	"1.047,82"	"100,00"
001214	PAN	"107,00"	"68,09"	"74,90"	"0,16"	"57,24"	31/08/2025	"68,09"	"100,00"
001242	PIMIENTOS DEL PADRON	"93,00"	"587,59"	"646,35"	"1,37"	"58,61"	30/08/2025	"587,59"	"100,00"
001243	SOPA FRIA	"43,00"	"328,05"	"360,85"	"0,76"	"59,37"	31/08/2025	"328,05"	"100,00"
001257	salsa casera	"146,00"	"66,36"	"73,00"	"0,15"	"59,53"	31/08/2025	"66,36"	"100,00"
001259	arroz extra	"10,00"	"27,27"	"30,00"	"0,06"	"59,59"	30/08/2025	"27,27"	"100,00"
001264	ensalada extra	"6,00"	"10,91"	"12,00"	"0,03"	"59,61"	25/08/2025	"10,91"	"100,00"
001343	patatas extra	"72,00"	"196,36"	"216,00"	"0,46"	"60,07"	31/08/2025	"196,36"	"100,00"
001386	ENSALADA REFRESCANTE	"120,00"	"1.521,82"	"1.674,00"	"3,54"	"63,62"	30/08/2025	"1.521,82"	"100,00"
001389	WOK SALMON	"88,00"	"1.196,00"	"1.315,60"	"2,79"	"66,40"	31/08/2025	"1.196,00"	"100,00"
001506	MAYONESA	"87,00"	"15,82"	"17,40"	"0,04"	"66,44"	31/08/2025	"15,82"	"100,00"
001511	KETCHUP	"10,00"	"3,64"	"4,00"	"0,01"	"66,45"	28/08/2025	"3,64"	"100,00"
001601	nachos	"57,00"	"0,00"	"0,00"	"0,00"	"66,45"	30/08/2025	"0,00"	"0,00"
001613	patatas baston	"508,00"	"0,00"	"0,00"	"0,00"	"66,45"	31/08/2025	"0,00"	"0,00"
001617	WOK VEGANO	"33,00"	"315,00"	"346,50"	"0,73"	"67,18"	31/08/2025	"315,00"	"100,00"
001649	NUTELLA	"65,00"	"58,18"	"64,00"	"0,14"	"67,31"	31/08/2025	"58,18"	"100,00"
001660	NACHOS GOURMET	"209,00"	"2.375,00"	"2.612,50"	"5,53"	"72,85"	31/08/2025	"2.375,00"	"100,00"
001711	CRISPY CHICKEN	"147,00"	"1.329,68"	"1.462,65"	"3,10"	"75,94"	31/08/2025	"1.329,68"	"100,00"
001768	COSTILLA DE CERDO	"77,00"	"1.111,05"	"1.222,15"	"2,59"	"78,53"	31/08/2025	"1.111,05"	"100,00"
001798	REBANÁ	"67,00"	"606,05"	"666,65"	"1,41"	"79,94"	31/08/2025	"606,05"	"100,00"
001799	POLLO CAJÚN	"206,00"	"1.863,36"	"2.049,70"	"4,34"	"84,28"	31/08/2025	"1.863,36"	"100,00"
001800	BASTONES DE BONIATO	"192,00"	"1.387,64"	"1.526,40"	"3,23"	"87,51"	31/08/2025	"1.387,64"	"100,00"
001802	CUBIERTA DE CHEDAR	"31,00"	"42,27"	"46,50"	"0,10"	"87,61"	30/08/2025	"42,27"	"100,00"
001803	HUEVO FRITO BURGUER	"55,00"	"75,00"	"82,50"	"0,17"	"87,78"	30/08/2025	"75,00"	"100,00"
001804	LOMO ALTO	"64,00"	"1.218,91"	"1.340,80"	"2,84"	"90,62"	30/08/2025	"1.218,91"	"100,00"
001805	PESCADO PLANCHA	"115,00"	"1.667,50"	"1.834,25"	"3,88"	"94,51"	31/08/2025	"1.667,50"	"100,00"
001813	SUG_2 10.95	"5,00"	"49,77"	"54,75"	"0,12"	"94,62"	31/08/2025	"49,77"	"100,00"
001815	SUG_4 12.95	"2,00"	"23,55"	"25,90"	"0,05"	"94,68"	01/08/2025	"23,55"	"100,00"
001816	SUG_5 13.95	"57,00"	"722,86"	"795,15"	"1,68"	"96,36"	31/08/2025	"722,86"	"100,00"
001817	SUG_6 14.95	"64,00"	"860,05"	"946,05"	"2,00"	"98,36"	28/08/2025	"860,05"	"100,00"
001818	SUG_7 15.95	"10,00"	"145,00"	"159,50"	"0,34"	"98,70"	06/08/2025	"145,00"	"100,00"
001822	Mayonesa Acomp.	"302,00"	"0,00"	"0,00"	"0,00"	"98,70"	31/08/2025	"0,00"	"0,00"
001823	Ketchup Acomp.	"265,00"	"0,00"	"0,00"	"0,00"	"98,70"	31/08/2025	"0,00"	"0,00"
001824	Guacamole Acomp	"166,00"	"0,00"	"0,00"	"0,00"	"98,70"	31/08/2025	"0,00"	"0,00"
001825	S Brava Acomp	"7,00"	"0,00"	"0,00"	"0,00"	"98,70"	31/08/2025	"0,00"	"0,00"
001826	S. Mayo-Miel Acomp.	"12,00"	"0,00"	"0,00"	"0,00"	"98,70"	27/08/2025	"0,00"	"0,00"
001827	Salsa 2.0 Acomp.	"2,00"	"0,00"	"0,00"	"0,00"	"98,70"	21/08/2025	"0,00"	"0,00"
001832	SUG_9 17.95	"33,00"	"538,50"	"592,35"	"1,25"	"99,95"	30/08/2025	"538,50"	"100,00"
001897	barbacoa acomp	"61,00"	"0,00"	"0,00"	"0,00"	"99,95"	31/08/2025	"0,00"	"0,00"
001898	Teriyaki acomp	"16,00"	"0,00"	"0,00"	"0,00"	"99,95"	31/08/2025	"0,00"	"0,00"
001901	Arroz acomp	"93,00"	"0,00"	"0,00"	"0,00"	"99,95"	31/08/2025	"0,00"	"0,00"
001902	Noodles acomp	"179,00"	"0,00"	"0,00"	"0,00"	"99,95"	31/08/2025	"0,00"	"0,00"
001903	Bolsa	"10,00"	"0,91"	"1,00"	"0,00"	"99,96"	21/08/2025	"0,91"	"100,00"
001904	Take Grande	"32,00"	"11,64"	"12,80"	"0,03"	"99,98"	30/08/2025	"11,64"	"100,00"
001905	Take pequeño	"40,00"	"7,27"	"8,00"	"0,02"	"100,00"	31/08/2025	"7,27"	"100,00"
001906	Poco hecho	"8,00"	"0,00"	"0,00"	"0,00"	"100,00"	28/08/2025	"0,00"	"0,00"
001907	Punto menos	"5,00"	"0,00"	"0,00"	"0,00"	"100,00"	23/08/2025	"0,00"	"0,00"
